text,img,label
姚晨疑晒新西兰风景照 大婚在即心情好日前有消息称姚晨 将与男友在新西兰完婚婚期就在近日随后大婚的卡通请柬也随之曝光北京时间今日409新西兰当地时间9点左右姚晨通过微博晒出一张风景照网友不禁感慨在美丽的新西兰完婚难怪她心情那么好详情,3232,0
令人咂舌的月薪别吓到各位了注意是月薪 鲁健26万董卿26万周涛22万李瑞英28万王小丫15万朱军22万水均益26万柴璐21万鞠萍20万李咏20万凤凰网,2533,1
现在的新闻也太丧尸了居然还有细节描写一把抱住疯狂亲吻压在床上这这是耽美文吧这节操什么的碎一地by永无乡de宁静,402,1
外媒曝加图索已考虑赴中超踢球,2809,0
科摩智能堂黄焱 了解了智能手机的定义来看看智能手机最基本的特点吧1具备无线接入互联网的能力2具有PDA的功能3具有开放性的操作系统4人性化可以根据个人需要扩展机器功能5功能强大扩展性强 童鞋们如果还需要了解手机方面的知识可关注黄焱 他会给大家做出更多更深入的讲解哦,3831,0
曼联vs斯旺西首发德赫亚琼斯斯马林费迪南德埃弗拉瓦伦西亚卡里克斯科尔斯扬鲁尼小豌豆 替补阿莫斯拉斐尔克莱维利朴智星纳尼吉格斯贝巴,4326,0
灾难片先知动作片勇闯夺命岛暴力片变脸场面片遇见未来战争片风语者情感片恶灵骑士爱情片天使之城经典片国家宝藏惊悚片世贸中心悬疑片8毫米这些都成了记忆刚才消息偶像尼古拉斯凯奇于美时1月17日滑雪意外丧生人生定格49岁,499,1
洋毒食国家质检总局进口不合格食品黑榜挪威的大西洋鲑鱼检出副溶血性弧菌被销毁韩国进口的乐天牌巧克力粒德国进口的欧尚85黑巧克力均发现铜超标被退货或销毁丹麦奇新蓝罐有限公司生产的曲奇饼干大肠菌群超标被销毁北京晚报,2068,1
越南乳瓜越南乳瓜来了 你敢吃么神奇的越南乳瓜神似女性的乳房颜色略呈粉色乳瓜成熟果实含葡萄糖果糖蔗糖胡萝卜素维生素C酒石酸枸椽酸苹果酸等营养价值也很高越南商务部发言人说预计适当时间这种瓜果会大量进入中国市场流入千家万户的餐桌越南乳瓜你敢吃吗,23,1
这是一个外国人无法理解的国家北京一名外国大姐挡在一辆驶入非机动车道的京HL2021车前微笑着劝说司机回到机动车道去司机先是鸣喇叭再谩骂后推搡要老外让开老外坚持着不让司机最后夺过自行车丢在路边在非机动车道上扬长驶去围观的国人在边上笑看不知所措的外国大姐转,138,1
从前有个人他不喜欢我后来他死了,3720,0
据说新浪微博要开启最近访客功能你妹以后让我怎么看男友前男友前前男友男友前女友前男友现女友前前男友暧昧对象男友勾搭对象前前男友老情人的微博啊让我怎么看我讨厌的人我讨厌的人喜欢的人我以前讨厌的人讨厌我的人讨厌我的人喜欢的人不愿关注却天天看得人的微博啊,1461,1
昨天在白金汉宫采访安德鲁王子曾作为海军直升机飞行员的他坚持参加福克兰岛战争的前线战斗这让身为女王的母亲在战争期间最怕的事就是接到电话直到有一天儿子亲自打来电话报平安安德鲁王子将于9月份以从欧洲最高楼Shard速降的方式为海军退伍军人慈善募款今年52岁的他冒险精神不减当年,2788,0
德国研究称性生活越多赚钱就越多亲亲  德国劳工研究协会调查显示一周超四次性生活的人的平均薪水要比一周只有一次的人高32同时在调查了7500个德国家庭之后发现性生活更多的人也会更快乐更健康更性感这一结果使没有性生活的低收入人群黯然失色,2538,1
每次开始的时候都迫不及待地爱别人可是真正在一起以后就忘记了小心翼翼的疼爱原来喜欢上一个人很容易可是要在心里最深刻的地方去珍惜就很难 安东尼这些都是你给我的爱,4542,0
是谁给了中国人双休日 1994年前后中美入世谈判最艰难的时刻美方突然向中方提出在全世界都实行双休日的今天中国必须尊重人权也给中国人双休日并把这一项作为入世条件之一于是1995年5月1日起我国开始实行双休日工作制我们到底应该感谢谁,2158,1
年仅13歲的男模,2698,0
真相刘翔在医院图最后一张慎点看到心都碎了伤心那些骂刘翔的人看清楚了,1093,1
0910 宁波妇儿医院今天下午1点48分一妇女及一婴儿在住院楼跳楼后抢救无效死亡具体情况公安部门正在调查妇女因小孩病重加上负担不起昂贵的医疗费带着仅四个月的宝宝从12楼跳楼身亡转自由人重生 ,876,1
除了双膝跪倒普通中国人还能怎么办为了保住学校家长已经坚持了四天浙江省缙云县大洋镇中心学校被纳入撤并对象五六百初中生适龄学童需走六七十里路求学 记者采访车刚开到现场村民就跪倒一片村民已经坚持四天了多转发一次就多份希望爱心传递via丰乳肥臀v,1895,1
一生不能错过的20件事真实的面对人生迈出那真诚和快乐的步伐转bed奔跑 你错过什么了吗趁还来得及赶紧的,3031,0
日本现摸胸募捐在8月25日至26日播放的节目24小时TV 工口拯救地球2012中名为用揉胸来贡献社会的特别活动在东京新宿区直播会场举办截至26日下午6时活动共有捐款者4690人次募集善款420万4836日元来场者和捐款额都是去年的两倍甚至还有前后共捐款20次凤凰网PS典型的岛国特色,3881,0
广州游行打砸抢罪犯资料公布居然是日本间谍福州那点事儿 福州小猪社区,1413,1
一只救了32条人命的搜救犬牺牲了同样是生命为它默哀吧昨天下午一只军用搜救犬发现一位大爷它就钻进里面结果塌陷了当将其挖出的时候发现内脏已经砸烂这只狗狗在这几天已经发现了35名幸存者有32名获救听到噩耗狗的主人李指导像失去孩子父亲般失声痛哭向我们最忠诚的朋友致敬,2152,1
王岐山反腐座谈会禁念稿 财产公开成会场焦点近日王岐山主持座谈会听取专家反腐建议某专家发言刚提到尊敬的王书记就被打断他要求少说客套话并表示参加王某人的会不准念发言稿要学会深刻思考会上多位专家均谈到尽快实行官员财产收入申报公开等新京报,4996,0
红色穿搭志在这寒冷的秋冬给自己添点好运吧耶来这学搭配,4651,0
在这个高贵的国家里菜贵伤民菜贱伤农是因为从农村到城里一路路过了敌占区吗,4593,0
要以自己的真实面目示人没有必要取悦他人没有必要委屈自己这样做了以后我本以为机会一定要少很多因为抱定了破釜沉舟的决心只求这一生做一个真实的自我付出代价也认了不想却多了朋友多了机缘 毕淑敏心灵密码,4355,0
声音法治周刊我是珠海改革开放的拓荒牛多吃一点多拿一点算什么你们用得着这样对我吗珠海人大常委会原副主任冼文被调查时如是说通过受贿收红包放高利贷获利1600余万元,3413,0
防痘15个细节⒈每天8杯水⒉每天排便⒊切忌熬夜⒋洗面彻底⒌少玩电脑⒍不用手挤痘痘⒎床套定期清洗防螨虫⒏十一点前睡觉不吃宵夜⒐上火的东西少吃⒑根据肤质选择护肤品⒒珍珠粉蜂蜜做面膜去痘去印⒓白砂糖洗面去印⒔维生素E涂痘印⒕喝花茶⒖睡前夹流海避免前额生痤疮,4655,0
到底胖能到什么程度呢请看吧抓狂,4433,0
母校一直等你回来今天碰到一位老爷爷华工第一届无线电专业毕业生只身一人下午回到母校没赶上签到他说自己是老古董怕大家不记得他还带来了自己的毕业证书怎么说呢当华园那份属于自己的岁月早已消逝一切物是人非是怀着怎样复杂怎样喜悦里饱含沧桑的感情回来看看你我最爱的母校,4687,0
前方记者带来的诺基亚N9首测速度很快有木有鼓掌,4228,0
Im not the heroIm a tool中国红十字会发来贺电热烈祝贺郭美美同学荣登美国时代周刊封面人物,678,1
当你40岁时没有4千万身价不要来见我北师大教授房地产研究中心主任董藩说这是他对研究生的要求董藩认为4千万并不是很大的数字房地产产业遍地是亿万富翁有反对者说不该拿财富作为衡量成功的唯一标准但董藩坚持说对高学历者来说贫穷意味着耻辱和失败您赞同还是反对,4319,0
特大好消息卖狗肉违法了 国家食品药品监督局11月1日开始集中受理狗肉馆举报举报电话12331 大家扩散出去啊,2026,1
本市10起危害食品安全案件被集中公诉小龙虾汤底添加有毒配料占4成最新本市检察机关集中公诉10起危害食品安全案涉及被告人24名总案值188万余元涉及使用过期馅料制作月饼在小龙虾汤底添加有毒配料用废油制烤鱼违规使用添加剂发制豆芽等其中添加罂粟壳粉汤料烧制龙虾的案件尤为突出,4370,0
马航航班失联解密黑匣子3月9日上午马航官员推测未找到黑匣子的原因可能是飞机解体严重为什么要找到黑匣子对飞机而言它意味着什么请看长微博,4125,0
别问我是否还是朋友那些美好或伤心的过往在分手一刻就碎了一地拼不回昨天也撑不起友情的明天别再试探你在我心中的位置你见过我爱得最傻的模样的是怎样不留后路破釜沉舟别祝我幸福这个世界上最没资格说这句话的人就是你记住你一定要幸福否则辜负了我的退出,4227,0
这样的逻辑要把李天一害死领头的老大最轻李双江之子李天一涉嫌强奸罪于7日被批捕李的76人律师团领队法律大学副校长张爱国教授对媒体表示李天一因第一个与被害女子发生性关系不构成轮奸罪只是以判罚较轻的强奸罪批捕这是律师团所有成员共同努力的结果,1287,1
史记娱乐圈志周杰伦列传     杰伦杰伦分享自 长微博工具,3874,0
日本电影贞子3D版将在九月十二日上映作为一个中国人虽然我们不能上前线抢回钓鱼岛但是我们可以从自己做起抵制日货包括日本的电影生病 从我做起拒绝观看贞子赞各位中国人扩散吧 转发,509,1
国安球迷双手指天祈福暴雨灾区,4966,0
朝鲜梳啥发型听政府的别被英媒忽悠了有媒体引英每日邮报21日报道朝鲜官方选出女性要剪的18种发型男性则有10款称此举为对抗西方影响新华社驻平壤记者杜白羽证实所谓官方发型图实为朝鲜本国居民理发店所贴海报而已朝鲜官方并未规定必须从中选择要真相不要忽悠详见长微博,2997,0
二叔成黑马 年末获重奖年终岁尾大剧混战山东卫视同海宁北辰影视公司联合打造的订制剧二叔杀出重围收视率一路攀升全国网和46测量仪城市冲进省级卫视第二收视成长高达110观众反应热烈几乎零差评鉴于该剧优良的社会效果和优异的收视表现山东卫视决定对该剧给予百万巨奖,4561,0
恐怖新骗局看的我汗毛都竖起来了现在还有点怕转给身边的盆友并且一定认真读完否则真遇到就来不急了话筒转,2041,1
穿越千年之旅成都至柬埔寨暹粒4晚6天自由行含成都直飞暹粒往返机票含税五星级吴哥奇迹酒店标间4晚住宿3960元人成都出发共40个位置让我们一起去吴哥窟倾听历史的神秘召唤,4441,0
你是不是总是会为了某人而不断地修改自己的底线不停地为某人找借口不停地想去原谅可是傻孩子其实TA没那么喜欢你,3358,0
二月十八号下午 酒泉中学一名同学不满学校 自购炸药炸毁学校一栋教学楼此事已被中央高度重视这么多年来 炸学校的心愿终于被达成了,531,1
默哀昨日波士顿马拉松比赛连续发生两起爆炸造成至少2人死亡其中一名是8岁儿童近百人受伤Twitter称8岁死者就是这名小女孩愿逝者安息生者坚强在大多数目光都转移到波士顿时也请大家不要忘记湖北大火烧死14名同胞伤60人他们也需要我们的关爱和支持尽管现在新闻上已经没有踪影了,863,1
肇庆绿道宣传影片为你而来预告片 心围观  来自威威Wilco,3292,0
文章同學       你可以请个稍微专业点的团队么你小时候思想政治课是体育老师教的吧给你付了那么学费的你爸妈知道么,1448,1
EMINEMCN那些Eminem告诉我们的话Im not Mr Friendly I can be a prick If you tempt me my tank is on empty  The way I Am我不是友善先生我也能变像翻脸不认人这般操蛋若你来挑逗我我的容忍度绝对是零人能百忍自无忧可如果煞笔们孜孜不倦地挑战底线呢月亮,4148,0
北京地铁2号线有人卧轨,695,1
超震撼舞台设计图赏,3147,0
恐怖新骗局看的我汗毛都竖起来了现在还有点怕转给身边的盆友并且一定认真读完否则真遇到就来不急了话筒Via Happy张江,2012,1
张国荣真实死因将公布今年4月1日是张国荣逝世十周年其生前好友兼经纪人陈淑芬将宣布一个保守了十年的秘密据媒体报道张国荣系他杀当时警方在香港旺角将犯罪嫌疑人周峰国抓获香港警方称当时抓捕活动只用了两个小时且掌握了大量证据证明张国荣是周峰国所杀,2328,1
高考阅卷老师冒死揭露内幕高考阅卷内幕一位自称参加过高考阅卷的教师近日发帖揭露阅卷中不为人知的内幕真相如果所述是真我们不禁惊讶于如此重要的决定一个学生前途命运的考试分数竟然在这样的粗放流程中产生到底有多少学生是这样被耽误的话筒via陈天哲,1217,1
日媒中国产业模式恐走向尽头日经新闻称发达国家正兴起以无人化和大规模定制化为特征的第三次工业革命数字化生产已波及制造业制造业就业机会这一等式在生变靠机器人互联网设计来低成本已进入实用阶段再回头看中国代工生产若走向尽头中国将靠什么解决就业成平,2851,0
美丽女子不配合强奸致男子阴断人亡被判刑_基层党建网河南频道西祠热帖 分享自 西祠胡同网,552,1
袖珍小猴走红网络高智慧宠物不好养昨天一只宠物猴的照片风靡网络据了解这种猴名为石猴宠物猴必须在合法商贩处购买但石猴并不易养有网友表示石猴性格太过活泼很皮模仿力很高有的时候会自己打开煤气阀门拿着打火机玩很危险 敬请关注全球震惊百分百,284,1
２０１２那一天就下了决定既然活着就要好好活  抛下过去所有经验信念评判和预设用这个身体去体验一切每一秒都是新的每一次都是初次世界我来了,2657,0
问小明住院了朋友去看他医生也在场他们聊了一会朋友就离开了可医生也跟着朋友走了为什么 这是今年看到的最冷的冷笑话 感觉冷的转,4970,0
微信收费标准 在工信部运营商双重压力下小马哥最终没能顶住微信收费将于7月1日开始收费标准信息5分条语音1毛条按这样的标准有多少人会放弃微信其实中国人的微信使用已经包含了流量费如果微信收费那么微博没理由不收费大家转起来让那些眼馋着不该眼馋的人士无地自容弱,757,1
我们舍友有一辆破自行车可是他却当成宝贝生怕被人偷于是上了三把锁 一日他哭丧着脸跑进宿舍对我们说我自行车被偷了当时一个舍友说你送我我都不要谁会去偷这时一位学心理学的舍友说道上了三把锁的自行车很容易激起小偷的职业心理如此具有挑战性的车再破也要偷转,4753,0
印度一妇女一次产下11胞胎创世界记录 恭喜恭喜心,1800,1
一一菌 我的偶像会模仿杰克尼科尔森像就不说了 最后一个表情笑尿 哈哈哈哈,2716,0
Alexander McQueen Resort 2012 Collections,2695,0
海底捞奇招顾客等位时叠千纸鹤 一个可抵5毛饭钱据网友NOAH李达爆料上海一家海底捞为留住顾客又出奇招等位时叠千纸鹤一个可抵5毛牛千方百计留住等待的客人千方百计让等待的客人不那么无聊网友评论人类再再一次不能阻止海底捞了海底捞你真的学不会黄金周出行日日报,4613,0
人要任性任性任性如今已太少人任性了不任性的人怎么能维持健康的精神状态他随时都在妥协随时在抑制自己其不快或隐忍究竟能支撑多久 自己要做得了主舒国治 嗯祝各位好梦,2702,0
所有的好友都住在同一幢公寓里这是我的梦想转,3120,0
一直觉得文章的道歉笔触和口吻有些似曾相识于是我苦思我冥想终于想起来了当年高晓松酒驾那次曾写过这样动情的文章如今文章同学把前辈墨宝翻了出来编剧和抄袭了高同学的文章一时间文章的这篇文章便登上了网上的热门文章历史就是这样天下艺人皆同路天下文章皆文章,441,1
NBA战报 开拓者113101拿下勇士跟随马刺一起拿到10连胜阿尔德里奇30分21篮板3封盖利拉德20分9助攻马修斯23分勇士这边库里复出22分11助攻汤普森30分大卫李15分12篮板博格特12篮板,3141,0
雅安灾情伟大母亲 为救儿子身亡雅安芦山县灾区的废墟中一个八岁小男孩被救出但她母亲却保护儿子而遇难儿子才没有砸到这个小男孩叫做杨宇杰他母亲叫杨双梅音37岁伟大的母亲一路走好via鲁国平先生,1197,1
看了新闻感慨大运会火炬怎么跟烤土豆片儿似的中间还有彩椒和洋葱 ,4469,0
基金总裁伤不起谭昊京城一著名公募总经理在员工大会上说如果我死了就算了但凡我还有一口气在就一定要把投资者的钱赚回来这家公司目前有200多万持有人6年间亏损173亿他对投研部门唯一要求是你们怎么把钱赔出去的就怎么给我赚回来否则我死不瞑目此刻他正在病中,4516,0
体育首尔K Pop Star2太阳SHINee2amWondergirlsmiss A超豪华嘉宾阵容 三强房艺谈乐童Andrew choi在半决赛中与三大公司明星们一同奉献了联合舞台最终Andrew choi遗憾止步三强房艺谈乐童进入最后的决赛,4930,0
星娱星乐填空阿基米德说给我一根杠杆我能把地球撬起那么给你一部手机你能________________________,3441,0
国税总局继续提高个税起征点没可能全国政协会议分组讨论时继续呼吁提高个税起征点国税总局副局长宋兰现场回应将个税起征点提高到3000元已让纳税人从9000万人减少到3000万人继续提高起征点没可能宋兰称不能简单的说税减老百姓就富了而要看总体,85,1
这个世界依然还是有相对干净 保守简单的人 不要因为自己的复杂激烈 就把全世界的人想成一样 当然我不一定单纯保守但我相信有这样的人存在 因为看到 所以 你才会觉得是自己的问题,2762,0
喝易拉罐一定要吸管一妇女喝了罐饮料被送进医院离开了世界验尸死于於细螺旋体病追踪她喝的饮料是直接用罐对嘴饮用实验证明罐头受到鼠尿感染细螺旋体病毒鼠尿含有毒性和致命物质因罐头运输过程没有清洗的研究显示罐上面的毒菌很多请转给你关心的朋友,1908,1
IT男的奇思妙想使用Twitter来远程喂狗8月20日讯英国IT男莫里斯发明了一套电脑程序在需要给家中爱犬托比喂食时就发布一条Twitter消息家中电脑收到后启动一个蜂鸣器托比听到声音后会跑过来坐在管子下面等着然后马达启动打开活门狗粮从管子落到托比的碗里,4351,0
据说这是今天中午新浪微博上不去的原因,1422,1
如今我不再如醉如痴也不再想将远方的美丽及自己的快乐和爱的人分享我的心已不再是春天我的心已是夏天我比当年更优雅更内敛更深刻更洗练也更心存感激我孤独但不为寂寞所苦我别无所求我乐于让阳光晒熟我的眼光满足于所见事物我学会了看世界变美了 黑塞,2727,0
李白你该是有多吊,1510,1
敢吃大闸蟹的人是世界上最勇敢的人壹周刊记者把12只大闸蟹送去化验结果发现11个样本有土霉素6个样本有氯霉素土霉素属过时抗菌素而氯霉素属香港违禁物质因会压抑骨髓功能导致贫血抵抗力下降和凝血困难问题孕妇吃了含有土霉素的毒蟹胎儿的骨质会变灰变脆,1842,1
演唱结束麻衣接受了主持人吴大维的采访九连拍的麻衣仍旧是那么可爱鼓掌,2670,0
这样innerexile提供了本活动给力的奖品也是我们在本次北京macworld大会见到的最给力也最让人眼前一亮的产品这两天我去了三里屯苹果专卖店顺电和其他卖场只能说这款产品不亏出自于苹果前资深工业设计师之手大家转发并 三位好友就有机会获取这款产品它就是innerexile旗下的奥德赛Odyssey,3612,0
钓鱼岛 事件谈判再次失败今日凌晨我国去年赠送日本的大熊猫兴兴被麻醉取精后暴死熊猫熊猫如果你看到此条新闻你愤怒了请转发起来让更多人知道日本人的恶行竟然残忍地拿世界上最珍贵的动物之一国家一级保护动物熊猫下手做实验日 本人是不是人是不是 怒怒弱,442,1
太活跃的鱼千万别买去菜场买鱼结果看到惊人一幕摊贩往大水盆内加入一种白色粉未迅速用手搅拌一会功夫白色粉未就溶解了将半死不活的鱼虾倒入其中没想到鱼虾一会儿就活蹦乱跳开仿佛这些鱼都是才从河中捕回来的这是一种能够致癌的催化剂俗称鱼浮灵转起让身边的人知道吧转,1145,1
巧克力蛋糕当早餐能减肥英国每日电讯报最近一项研究表明将巧克力蛋糕等甜食作为早餐有利于人体在新陈代谢最旺盛时有效分解糖分并在接下来的时间里充分消耗热量减少热量摄入需求实验显示连续32周以巧克力蛋糕作早餐的人平均减掉21公斤体重 是吃货就关注吃货都在这里集合,3581,0
部分国内媒体引用报道大陆5航班接诈弹恐吓 空姐大声尖叫弃乘客逃生不实报道都源自香港的苹果日报在撤离时空姐大声呼叫是让乘客听清撤离指令一名空姐先跳下飞机并不是弃乘客逃生而是示范并先下去组织引导乘客撤离这些都是国际标准程序号称香港销量第一的媒体怎能刊出这样诋毁的文章,3712,0
河北邢台市长遭网上联名举报日前标题为曝河北省邢台市市长刘大群收受回扣豢养情妇的举报网帖成为网络反腐最新一波该文章以张剑仁等河北邢台29名干部群众身份联名举报邢台市长刘大群四宗罪许多网民表示此次联名举报的事实详细有关部门应尽快查清事实新华社中国网事,4138,0
据Goalcom报道称鲁尼拒绝与曼联就新的续约合同展开谈判他的经纪人保罗斯特雷特福德打算借此迫使曼联放他转会,3543,0
一大早护士姐姐来告诉我有位西藏来的活佛也要住院看上了我的病房认为风水很好希望我换到另一间窗外是工地的病房去我答道在我的心目中活佛应该是救人的怎么能把好东西居为己有呢,4341,0
生命太短没留时间给我们每日带着遗憾醒来所以去爱那些对你好的人忘掉那些不知珍惜你的人晚安,4531,0
曝巴萨夏季将来华献艺详情,4808,0
WinXP系统寿命不足两月 专家停止服务后电脑10分钟内就会出事距4月8日微软停止对Windows XP技术支持的大限不到两月专家提醒一旦微软停止支持服务未升级的电脑在10分钟内便可能受感染微软也表示如果你在XP停止支持后还使用该系统并联网电脑就会陷入重大危险中你还在用XP吗据人民日报,3634,0
皮下被这柔情的一吻震撼到了我们猜测过这俩是互相看不惯的父子关系小舅子和姑爷的纠结关系等等种种但是此刻只想大吼一声真相到底是什么偷笑,3777,0
20日江苏兴化市周庄镇农贸市场发生一起城管执法人员与一名农妇纠缠致其重伤的事件22日下午该农妇在医院里经抢救无效死亡城管在执法中掀翻了经营户李祖扣摊点李夫妇与城管人员发生了厮打纠缠李祖扣妻子56岁的林红英腹部被踢一脚造成肝血管脾脏破裂引发死亡,249,1
WarsJustin Bieber抵达韩国与鸟叔权志龙合影JB韩国场演唱会两人会助阵献唱,5045,0
美丽说晚安于千万人之中遇见你所要遇见的人于千万年之中时间的无涯的荒野里没有早一步也没有晚一步刚巧赶上了没有别的话可说惟有轻轻地问一声噢你也在这里爱张爱玲,4999,0
坐着等待好运就不会从天而降就算命中注定也要自己去把它找出来在我过去的体验中越努力得到的东西就越好当我得到的时候会感觉一切都是注定的可是如果不努力争取你得到的可能是另一样东西那个结果也好象是注定的所以目前这个局面可以说它是命定也可以说是人改造了它李安,4530,0
奥运新闻中心现标语中国记者请尊重工作人员近日奥运会媒新闻中心出现令人尴尬场景一块标有汉字的纸牌写着中国的记者朋友们请照顾一下伦敦媒体中心的工作人员如果你们想拍他们的话请提前询问他们尊重一下他们的私人空间谢谢你们新民网,5072,0
波士顿 请为这位小女孩点上一支 这位戴着眼镜努力往前跑的1035号小朋友今年8岁在东部时间4月15日下午2点30分波士顿马拉松爆炸事件中失去了生命泪小宝贝天堂的路没有恐怖袭击天堂的路可以自由奔跑蜡烛蜡烛蜡烛,796,1
芙蓉溪惊现男尸死者被割喉挖肾传闻今天在黄家坝芙蓉溪附近一位老大爷钓鱼时发现一具男尸年龄二十岁左右尸体开始腐烂目前绵阳师范学院正在清查在校男生数量据说死者被割喉挖肾平安绵阳,537,1
有奖转发关注蚂蚁汇赢imac大奖参与方式①关注蚂蚁汇②评论并转发本条微博③ 5位以上好友今天我们会抽取6名粉丝送出豆腐手机座或美妆体验一份另外再从评论尾数为4的粉丝中选一名送出薇姿中样一份本月全部活动结束后将有大奖imac相送想要拿奖的童鞋们转起来吧欢欣鼓舞,4462,0
震惊打死同学不留情 市长老爸来撑腰因为老师不让学生考试作弊几位作弊的准备对老师动手同学王某喊了句别打老师两天之后这几名恶少找到了该学生在学校里进行了冷酷的毒打 当时校长和3名老师竟然冷眼旁观看着15岁初三学生被打死三名凶手逃逸 徐昕 视频,469,1
釜山火炉五角场韩国料理街上的夜宵圣地地道的韩国烤肉充满像夜排档一样的氛围老板是韩国人每次餐前送的小菜也都不错烤肉里最喜欢牛舌嫩嫩香香烤久一点嚼起来很有咬头每次去吃都会吃撑人均60元地址邯郸路397号武川路11号,4356,0
大家买牙膏请留心买牙膏时注意下牙膏管反面底部的颜色条原来颜色条有含义啊尽量选择绿色和蓝色共分4种绿蓝红黑 绿色纯天然 蓝色天然药物 红色天然化学成分 黑色纯化学 国内的儿童牙膏居然大多是化学的  你知道以后如何选择,855,1
商品市场重挫 高频交易难辞其咎约1小时前纽约商品市场遭重击不禁让人联想去年美股闪电崩盘重跌后不难找到高频交易的影子美股已启动熔断而商品和汇市还没有据Aite数据目前期货交易28是高频交易冷冰冰的超级电脑追涨杀跌丝毫不夹杂人类情绪下为历史闪电崩盘和高频交易增长状况,5091,0
央视快讯浙江安吉一架歼8飞机夜航训练时失事记者从空军获悉12月12日19时11分一架歼8飞机在夜间飞行训练时失事飞机坠于浙江省安吉县报福镇汤口村一处山头上飞行员牺牲地面无人员伤亡飞机失事后军地有关部门迅即组织力量进行现场搜救和善后处理,2897,0
网传刘翔退赛惊人内幕 伦敦粗心竟令栏间距增加刘翔的七步上栏法是针对从起跑点到第一个栏杆之间的距离1372米但是这次伦敦把这个距离增加到1385米这就不难理解刘翔在第一个栏就踩栏也导致同组多名选手踩栏而英国选手练的就是1385米所以顺利晋级关注中求真相 汗 高级黑,1801,1
我们不知道的俄罗斯1住房不收费人均18以下无偿转给个人18 以上部分也只收很少钱2用水没水表自来水热水从不收费3看病不花钱手术住院治疗免费只收药费4教育倒贴上学免费还免费供应一顿早餐或午餐5失业要批准企业须提前3个月向国家申请批准后方可解雇员工,364,1
发膜头发干枯毛躁上理发店做护理太贵小美有个平民好方法1将头发先洗干净 2整头涂上发膜 3用毛巾包好湿头发 4用电吹风吹10分钟5最后冲洗干净头发这样每周做一次头发一定又柔顺又亮泽噢更多精选,3925,0
真机体验下午把营业厅的真机体验改变了一下方式每个真机演示一种精品软件免费发短信微信免费视频通话QQ视频免费wifi畅无线免费通话暂保密还有手机电视快速传输软件快牙声控拨号软件讯飞语点弹吉它的音乐软件等希望通过精品的软件介绍提升用户的购买欲望联通王峰,3998,0
